id;extralabel;name;latitude;longitude
UKN7108;junction;Abbey Foregate Jcn AFE.SHL;52.7076000;-02.7457000
UKN7089;junction;Abbotswood Jcn ABW.BAG2;52.1474000;-02.1630000
UKN8354;junction;Addlestone Jn AJB.VWW;51.3616000;-00.4727000
UKN7907;junction;Adwick Jn CJS.DOL1;53.5744000;-01.1834000
UKN8264;junction;Airport Junction Up Main Connection 1 HLL.MLN1;51.5033000;-00.4245000
UKN8007;junction;Aldershot Jn North GTW2.NSA;51.2588000;-00.7240000
UKN8130;junction;Aldwarke Jn  Down Tinsley  ANS.TJC3;53.4565000;-01.3251000
UKN8367;junction;Allington North Jn Up ACD.NOG1;52.9324000;-00.6928000
UKN8112;junction;Allington West Jn ABE1.NOG1;52.9330000;-00.7023000
UKN7275;junction;Alves Jcn ANI2.BGD;57.6375000;-03.4625000
UKN8234;junction;Anlaby Road Jn AWP.HUL1;53.7440000;-00.3666000
UKN8172;junction;Apperley Junction ILK1.TJC3;53.8391000;-01.6865000
UKN7911;junction;Applehurst Jn ECM2.JCA;53.5875000;-01.1219000
UKN8475;junction;Archcliffe Jn  Up   Removed  HSE.XTD;51.1146000;+01.3069000
UKN7218;junction;Arkleston West Up Ayr To Down Gourock AYR1.GOU1;55.8558000;-04.3917000
UKN7791;junction;Ashendon Jn NAJ2.NAJ3;51.8118000;-00.9926000
UKH0018;junction;Ashford East Junction;51.1297000;+00.9031000
UKH0016;junction;Ashford West Junction;51.1544000;+00.8545000
UKN7151;junction;Ashton Moss North Jcn AMJ.DJO2;53.4887000;-02.1093000
UKN8108;junction;Attenborough Jcn  Up Aml  AML.TSN1;52.8972000;-01.2463000
UKN7270;junction;Banavie Jn MLG1.MLG2;56.8407000;-05.0912000
UKN7204;junction;Bank Jn GSW.KSH;55.4063000;-04.2033000
UKN7881;junction;Barncliffe E Jn Down BKS.MAC3;53.3287000;-01.1909000
UKN7043;junction;Bathampton Jn  Bfb Dn  BFB.MLN1;51.3982000;-02.3215000
UKN7902;junction;Bentley Jn Dn DOW.HJB;53.5397000;-01.1263000
UKN7987;junction;Benton North Jn BNE.ECM7;55.0130000;-01.5595000
UKN7067;junction;Berkeley Road Jn BGL2.SAW;51.7012000;-02.4076000
UKN7506;junction;Bidston East Jcn BEM.BEN.CWK2.CWK3;53.4089000;-03.0690000
UKN7427;junction;Bogside Jn AYR4.SDG;55.6311000;-04.6909000
UKN7983;junction;Boldon North Jn BNW.LEN3;54.9592000;-01.4529000
UKN7984;junction;Boldon West Jn BGE.LEN3;54.9594000;-01.4627000
UKN7656;junction;Bootle Jcn  Up To Crossover  BSJ.HXS3.SCT2;53.4413000;-02.9924000
UKN7096;junction;Bordesley Jn  Up Bcv  BCV.SKN;52.4733000;-01.8711000
UKN8525;junction;Boss Hall Junction BFC.ESK;52.0639000;+01.1260000
UKN7967;junction;Bowesfield Junction DSN2.LEN3;54.5482000;-01.3350000
UKN8067;junction;Brb/lrt Boundary Harrow MCJ1.MCJ2;51.5785000;-00.3294000
UKN7681;junction;Brewery Jcn  To Up Brewery  BPP.MVL1.PPA1;53.4958000;-02.2059000
UKN8543;junction;Buckland Jn BME2.FDM;51.1371000;+01.2923000
UKN7441;junction;Busby Jn Up EKE.GBK;55.8188000;-04.3103000
UKN7581;junction;Busby Jn Up EKE.GBK;55.8203000;-04.3063000
UKN7552;junction;Bushbury  Oxley  Jcn Down OXC.PBJ.RBS2.RBS3;52.6082000;-02.1239000
UKN7994;junction;Butterwell Junction BWO2.ECM7;55.2071000;-01.6247000
UKN7426;junction;Caledonian Paper Mill Sidings. Irvine BAK.ZZA5;55.5709000;-04.6367000
UKN7689;junction;Cardonald Jn AYR1.CND1;55.8534000;-04.3458000
UKN7416;junction;Carlisle Upperby Jcn Ucj/ulr CGJ7.UCJ;54.8743000;-02.9155000
UKN8444;junction;Carlton Road Jcn  Up  JRT1.MCL.SPC1;51.5528000;-00.1505000
UKN7333;junction;Carmarthen Bridge Junction CAN.SWM2;51.8462000;-04.3118000
UKN7080;junction;Carmarthen P&t Loop Junction CNW.SWM2;51.8488000;-04.3162000
UKN7468;junction;Carmuirs West Jn CMS.SCM3;56.0046000;-03.8380000
UKN7442;junction;Cathcart North Jn Up CNC.CTC;55.8232000;-04.2594000
UKN7224;junction;Change Of Elr Nbe/nem1 NBE.NEM1;55.8985000;-03.6415000
UKN7665;junction;Chinley North CNB1.MAS.TTA1;53.3377000;-01.9215000
UKN8530;junction;Chippenham Jn  Up Sob1 To Down Cch  CCH.SOB1;52.2648000;+00.4290000
UKN7448;junction;Coatbridge Jn RCB.SCM3;55.8603000;-04.0301000
UKN7296;junction;Cogan Junction BRY.PTH;51.4481000;-03.1891000
UKN7034;junction;Cogload Jn - Up CCL.MLN1;51.0398000;-03.0021000
UKN8513;junction;Colne Jnc CTH.STB;51.8879000;+00.9184000
UKN7663;junction;Colwich Jcn  Up  CMD2.LEC2;52.7889000;-01.9846000
UKN7871;junction;Coulson NOB1.NOB2;53.2207000;-00.5601000
UKN7692;junction;Cowlairs South Jn 3100/2500 EGM1.PNS;55.8804000;-04.2395000
UKN7455;junction;Cowlairs West Jn.  For Maryhill Park  Up CSN.MRL1;55.8887000;-04.2443000
UKN7469;junction;Craigendoran Junction NEM7.WHL;55.9937000;-04.7053000
UKN7233;junction;Craigentinny Jn For Powderhall CPH.ECM8;55.9565000;-03.1432000
UKN7614;junction;Craven Arms Junction  Site Of  CWL1.CWL2;52.4394000;-02.8369000
UKN8597;junction;Crayford Creek Jn BEX.PSF;51.4643000;+00.1880000
UKN7068;junction;Cwmbach Junction  Site Of  ABD.ALK;51.6968000;-03.4132000
UKN7237;junction;Dalmeny Jn DMY.ECN2;55.9809000;-03.3770000
UKN7187;junction;Dalton Jcn CBC1.DAP;54.1497000;-03.1923000
UKN8494;junction;Dartford Jn  Dn Main  HDR.NKL;51.4500000;+00.2098000
UKN8495;junction;Dartford Jn  Up  CRA.HDR;51.4512000;+00.1978000
UKN7787;junction;Didcot North Jn - Down DCL.DEC;51.6215000;-01.2444000
UKN7384;junction;Dinting East Jcn DSD.HAJ;53.4511000;-01.9702000
UKH0020;junction;Dollands Moor West Junction;51.0905000;+01.0738000
UKN8124;junction;Dore West Jn Up DWS.MAS;53.3235000;-01.5184000
UKN8291;junction;Drax Power Station Jn Up DRA1.WAG1;53.6962000;-01.0827000
UKN7164;junction;Dryclough Jn GRD.MRB;53.7087000;-01.8551000
UKN7605;junction;Dubbs Jn BYL.LGS1;55.6447000;-04.7190000
UKN8063;junction;Dudding Hill Jcn BDH.CAW;51.5578000;-00.2307000
UKN7760;junction;Earlswood Jn 21.330 Via Red=21.462 Via Q RED2.VTB2.VTB3;51.2338000;-00.1688000
UKH010b;station;Ebbsfleet High Level;51.4437000;+00.3219000
UKH0010;station;Ebbsfleet International Low Level;51.4428000;+00.3227000
UKN7379;junction;Edge Lane Junction DSE.OME3;53.4056000;-02.9152000
UKN7624;junction;Edgeley Jcn No.1  Dn  BEJ.CMP1.CMP2;53.3972000;-02.1646000
UKN7376;junction;Edgeley Jcn No.2  Dn  CMP2.EJN;53.4015000;-02.1630000
UKN7683;junction;Eglinton Street Jn. CLY.LFS1.WCM2;55.8418000;-04.2576000
UKN7247;junction;Elbowend Jn CRN.KNE1.KNE2;56.0548000;-03.4836000
UKN7878;junction;Elr Change Buxton Jcn CNB1.CNB2;53.2531000;-01.8358000
UKN7500;junction;Elr Change Crewe Coal Yard Sb CGJ1.LEC5.LLI;53.1018000;-02.4399000
UKN7390;junction;Elr Change Marsh Lane Jcn NMB.NMM;53.4649000;-02.9996000
UKN7137;junction;Elr Change Preston Brook CGJ1.CGJ2;53.3090000;-02.6441000
UKN7381;junction;Elr Change Reddish Jcn TTA1.TTA2;53.4364000;-02.1409000
UKN7241;junction;Elr Change. Rosyth RHD1.RHD2;56.0219000;-03.4053000
UKN7654;junction;Elr Change-Macclesfield CMD1.MCH;53.2634000;-02.1239000
UKN8173;junction;Esholt Junction GUE2.ILK1;53.8658000;-01.7079000
UKN7288;junction;Fairwood Junction WES.WEY;51.2590000;-02.2278000
UKN7513;junction;Farington Curve Jcn  To D&u Ormskirk  CGJ5.FCO.FHR1;53.7314000;-02.7018000
UKN8035;junction;Feltham Junction  Up  HJW.HOU;51.4549000;-00.3716000
UKN7838;junction;Fletton Jnc ECM1.FOM;52.5565000;-00.2440000
UKN7420;junction;Floriston Jcn  Dg  KMG2.WCM1;54.9665000;-03.0070000
UKN8336;junction;Flyover East Junction LCJ.SPD5;53.4961000;-01.0903000
UKN7305;junction;Ford Branch Junction FOR.VOG;51.4936000;-03.5745000
UKN8201;junction;Ford Jn BLI1.TBH1.TBH2;50.8274000;-00.5647000
UKN8232;junction;Former Barnsley Jn PED1.PED2;53.5199000;-01.6063000
UKN8160;junction;Former Cutsyke Junction CPM1.CPM2;53.7147000;-01.3591000
UKN7854;junction;Former Honington Jn GRS1.GRS2;52.9830000;-00.5970000
UKN8289;junction;Former Junction DRS1.MVN2;53.6743000;-01.6197000
UKN8533;junction;Former Snailwell Jn SOB1.SOB2;52.2665000;+00.4121000
UKN7273;junction;Forres Station Mileage Change ANI2.ANI3;57.6106000;-03.6268000
UKN7138;junction;Frodsham Jcn  Dn To Dn L-Pool  CHW1.FJH;53.3065000;-02.7002000
UKN7169;junction;Gannow Jcn FHR5.FHR6.GJC;53.7888000;-02.2675000
UKN7223;junction;Garnqueen North Jn  Cbd1/scm3  CBD1.SCM3;55.8931000;-04.0412000
UKN7638;junction;Garriongill Jn WCM1.WCM2.WWD;55.7568000;-03.8787000
UKN7668;junction;Garston Jn Departure Line AEG.WJL3;53.3560000;-02.8852000
UKN7222;junction;Gartcosh Jn CBD1.CBD2.GHE;55.8845000;-04.0719000
UKN8077;junction;Gavray Junction Dn BSG.OXD;51.8977000;-01.1423000
